Park Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Average
Denali NP & PRES,"311,335","360,189","404,236","403,520","415,935","458,308","432,309","358,041","378,855","406,582","388,433","530,922","531,315","560,757","587,412","642,809","594,660","601,152","54,850","229,521","432,557"
Devils Postpile NM,"147,362","118,550","114,788","67,402","105,303","120,758","134,005","110,212","80,349","97,207","87,845","91,794","114,414","140,313","135,404","109,571","139,724","147,864","108,590","145,387","115,842"
Devils Tower NM,"404,934","396,266","386,558","369,575","335,764","322,272","336,303","391,023","436,200","395,203","416,994","417,326","440,875","478,833","496,210","499,031","468,216","450,785","423,997","550,712","420,854"
Dinosaur NM,"299,142","289,849","325,279","360,584","278,473","230,914","201,724","203,862","197,812","213,559","302,858","274,361","250,625","291,799","304,312","315,859","304,468","298,965","264,145","359,560","278,408"
Dry Tortugas NP,"79,582","74,741","67,917","61,765","64,122","60,895","63,947","52,011","53,890","75,171","60,550","58,401","64,865","70,862","73,661","54,281","56,810","79,200","48,543","83,817","65,252"
Dwight D. Eisenhower MEM,,,,,,,,,,,,,,,,,,,"187,328","625,740","406,534"
Edgar Allan Poe NHS,"12,314","10,830","11,005","11,879","12,409","14,258","12,961","17,463","16,584","14,711","19,104","5,884","13,701","13,862","14,827","14,878","16,314","15,527","2,418",0,"12,546"
Effigy Mounds NM,"75,061","79,658","93,575","88,546","90,199","88,268","68,696","78,177","79,783","82,581","78,540","71,074","77,812","81,901","77,195","67,006","55,576","65,581","18,225","66,734","74,209"
Eisenhower NHS,"76,518","69,017","72,272","67,669","70,243","69,747","70,757","64,212","61,210","58,022","53,286","59,179","58,240","54,377","55,550","50,597","42,036","47,277","7,926","16,915","56,253"
El Malpais NM,"115,893","151,127","137,170","116,194","107,792","110,639","115,066","123,290","134,662","105,356","114,678","137,904","164,063","174,433","157,440","161,526","154,368","158,924","139,336","181,729","138,080"
El Morro NM,"60,143","57,889","65,877","51,825","52,297","51,492","45,178","48,245","52,566","48,332","44,808","40,051","46,256","49,390","59,422","59,013","65,453","68,867","36,328","66,734","53,508"
Eleanor Roosevelt NHS,"71,189","58,843","53,765","52,690","14,493","59,846","53,632","54,393","53,067","50,074","55,049","43,686","60,456","64,791","63,480","67,621","54,649","47,630","9,575","12,414","50,067"
Eugene O'Neill NHS,"3,496","2,672","2,684","3,652","3,372","2,339","2,544","3,783","2,445","2,593","2,789","2,929","3,202","3,942","4,287","3,931","3,432","2,944","14,423","22,714","4,709"
Everglades NP,"968,909","1,040,648","1,181,355","1,233,837","954,022","1,074,764","822,118","900,882","915,538","934,351","1,141,906","1,047,116","1,110,901","1,077,427","930,907","1,018,557","597,124","1,118,300","702,319","942,130","985,656"
Federal Hall NMEM,"177,146","120,152","156,707",0,"12,800","127,432","212,564","204,880","178,749","187,109","167,146","148,647","137,538","172,038","314,531","325,497","230,634","264,849","13,822","4,583","157,841"
Fire Island NS,"763,992","629,858","819,161","670,456","636,030","616,233","604,577","569,667","613,057","519,173","483,334","294,219","384,343","441,899","431,303","456,392","305,710","391,311","250,449","224,924","505,304"
First Ladies NHS,,,,,"11,219","10,881","9,770","10,466","8,766","8,254","9,903","10,068","15,326","12,897","13,378","13,085","11,447","10,913","2,406","6,562","10,334"
Flight 93 NMEM,,,,,,"143,725","136,091","149,668","137,837","265,246","317,926","265,924","284,226","337,217","385,123","364,082","381,448","411,226","244,364","424,224","283,222"
Florissant Fossil Beds NM,"62,509","67,537","61,258","59,508","56,094","55,992","56,988","64,251","65,422","61,289","62,637","58,032","63,297","69,130","73,564","71,763","79,568","77,340","61,081","75,128","65,119"
Ford's Theatre NHS,"545,336","429,763","826,008","856,079","857,600","732,521","335,865","658,271","662,298","642,786","701,542","665,876","655,441","681,537","650,779","744,266","533,410","572,373","56,058","101,146","595,448"
Fort Bowie NHS,"8,290","8,445","9,483","9,656","10,679","10,027","10,095","9,641","9,491","8,429","7,966","8,082","6,964","7,760","8,013","8,491","8,401","7,577","6,456","9,280","8,661"
Fort Caroline NMEM,"184,575","180,656","171,505","145,736","224,114","250,616","279,984","288,606","299,906","326,149","327,339","307,086","187,843","224,418","232,082","243,960","203,276","187,658","404,476","323,852","249,692"
Fort Davis NHS,"56,454","54,204","54,007","51,858","49,091","51,435","49,290","50,968","43,280","35,130","38,136","43,277","49,842","55,955","61,823","60,910","49,532","51,995","35,920","48,163","49,564"
Fort Donelson NB,"234,855","227,004","228,355","208,687","213,521","233,205","208,631","203,456","202,210","257,389","284,762","247,734","262,317","260,744","259,343","208,816","168,986","254,431","325,496","234,898","236,242"
Fort Frederica NM,"241,876","243,286","252,793","363,948","316,611","264,586","248,093","296,117","294,484","293,041","262,235","217,580","228,103","202,191","192,906","188,089","183,591","212,330","210,892","84,860","239,881"
Fort Laramie NHS,"50,074","50,455","53,638","46,455","40,651","40,263","48,297","56,923","57,128","52,916","55,199","54,057","49,038","51,616","57,444","61,513","52,414","42,892","26,066","42,904","49,497"
Fort Larned NHS,"39,920","35,317","37,127","31,551","31,512","30,471","21,483","27,443","29,423","26,704","33,194","27,432","24,607","32,170","31,060","29,188","29,173","26,958","21,895","29,442","29,804"
Fort Matanzas NM,"714,970","947,875","918,450","1,002,444","922,315","830,672","813,131","793,253","673,700","570,695","497,574","523,694","568,529","622,175","557,810","578,981","608,103","593,788","543,590","562,114","692,193"
Fort McHenry NM & HS,"673,823","607,357","627,659","620,636","622,419","574,924","598,050","605,870","611,582","641,254","744,076","678,431","769,300","617,890","610,987","591,861","486,113","419,545","163,224","150,075","570,754"
Fort Necessity NB,"89,407","95,957","105,688","102,004","223,111","353,296","127,672","197,271","264,450","193,479","187,893","165,159","219,546","280,705","290,021","294,145","280,970","312,104","199,801","274,853","212,877"
